N,P,K,ph,EC,S,Cu,Fe,Mn,Zn,B,label
143,69,217,5.9,0.58,0.23,10.2,116.35,59.96,54.85,21.29,pomegranate
170,36,216,5.9,0.15,0.28,15.69,114.2,56.87,31.28,28.62,pomegranate
158,66,219,6.8,0.34,0.2,15.29,65.87,51.81,57.12,27.59,pomegranate
133,45,207,6.4,0.94,0.21,8.48,103.1,43.81,68.5,47.29,pomegranate
132,48,218,6.7,0.54,0.19,5.59,63.4,56.4,46.71,31.04,pomegranate
137,36,187,6.5,0.27,0.19,14.19,103.63,55.62,62.27,22.35,pomegranate
173,62,194,6.3,0.42,0.16,5.9,106.01,47.26,38.41,14.54,pomegranate
152,56,218,6.4,0.37,0.27,14.24,107.55,40.8,65.93,14.53,pomegranate
143,71,173,6.9,0.19,0.25,7.79,70.8,68.69,51.48,20.04,pomegranate
141,20,208,6.6,0.39,0.26,7.49,104.46,29.38,68.91,18.31,pomegranate
131,36,209,5.8,0.84,0.22,5.48,79.78,50.38,35.69,41,pomegranate
146,43,195,6.7,0.12,0.24,10.2,105.36,66.53,21.74,35.32,pomegranate
136,78,215,5.8,0.14,0.19,18.22,67.61,56.48,34.25,12.11,pomegranate
179,47,213,6.5,0.67,0.25,18.6,68.08,24.23,37.01,33.52,pomegranate
170,71,186,6.1,0.27,0.25,12.14,118.34,39.53,31.18,49.54,pomegranate
168,52,174,6.9,0.55,0.17,19.96,82.57,33.71,69.05,22.09,pomegranate
169,18,217,7.2,0.32,0.27,5.66,70.36,34.26,24.74,44.29,pomegranate
153,45,179,5.9,0.74,0.26,19.98,106.26,36.45,42.66,15.54,pomegranate
175,38,198,5.7,0.47,0.16,9.63,82.95,46.61,36.59,42.51,pomegranate
161,73,183,6.2,0.28,0.29,10.65,91.85,33.55,66.69,38.12,pomegranate
172,45,176,6.6,0.58,0.3,16.95,112.96,22.16,56.8,26.34,pomegranate
139,21,185,5.9,0.51,0.3,10.19,94,34.25,58.48,19.45,pomegranate
150,62,176,6.1,0.84,0.21,16.41,87.05,53.95,34.8,34.93,pomegranate
176,51,184,6.1,0.13,0.15,18.4,71.79,44.18,55,31.36,pomegranate
176,12,174,6.6,0.48,0.19,17.53,71.91,41.8,38.42,39.85,pomegranate
169,66,184,6.9,0.89,0.22,18.47,63.19,68.27,63.18,46.11,pomegranate
163,61,208,6.6,0.43,0.28,7.43,74.29,35.88,70,17.96,pomegranate
132,26,172,6.8,0.73,0.18,17.28,65.02,22.87,24.21,25.7,pomegranate
140,38,209,7.1,0.31,0.18,12.11,72.29,51.01,55.48,38.58,pomegranate
131,55,194,5.7,0.45,0.29,10.82,90.61,56.08,58.15,32.65,pomegranate
137,76,190,5.8,0.18,0.27,9.37,83.59,27.1,42.23,11.5,pomegranate
145,61,187,6.6,0.75,0.28,11.01,116.14,54.45,52.35,30.73,pomegranate
147,21,194,6.9,0.8,0.27,9.42,96.66,54.55,64.95,14.86,pomegranate
170,57,203,6.6,0.95,0.29,10.64,108.13,69,50.66,43.61,pomegranate
150,14,215,6.8,0.39,0.2,14,104.99,24.9,67.39,37.16,pomegranate
151,12,196,6.9,0.57,0.16,5.35,60.9,40.23,69.89,19.32,pomegranate
174,76,216,6.3,0.66,0.18,19.55,107.03,53.17,23.04,46.68,pomegranate
163,61,220,7,0.5,0.25,8.1,90.4,31.96,40.56,47.76,pomegranate
162,77,188,6.3,0.22,0.23,19.09,111.44,51.52,31.47,15.38,pomegranate
167,15,205,6.7,0.38,0.25,18.59,109.46,49.94,50.26,37.5,pomegranate
153,49,175,7,0.28,0.17,8.99,91.57,65.61,46.49,47.35,pomegranate
167,25,194,5.6,0.6,0.15,18.64,85.77,29.01,24.07,15.66,pomegranate
169,26,220,7.2,0.15,0.18,9.12,118.78,20.58,67.41,31.29,pomegranate
160,54,203,5.8,0.38,0.18,16.85,67.35,64.58,39.63,36.93,pomegranate
151,33,220,6.7,0.14,0.19,12.44,103.93,26.86,52.42,31.56,pomegranate
164,72,206,6,0.8,0.27,10.13,72.74,29.08,61.03,47.98,pomegranate
153,79,201,5.6,0.35,0.25,12.1,103.03,47.11,52.56,16.59,pomegranate
172,65,212,6.1,0.61,0.21,12.23,82.96,44.4,20.4,22.27,pomegranate
167,24,171,7,0.23,0.23,16.91,89.45,55.35,45.29,48.11,pomegranate
131,61,181,7.1,0.11,0.21,16.24,75.44,34.66,32.53,35.69,pomegranate
135,41,214,7.1,0.25,0.19,14.11,105.35,31.74,51.75,36.69,pomegranate
145,68,213,6.7,0.75,0.17,19.66,104.17,69.42,47.15,31.94,pomegranate
176,30,190,7.2,0.19,0.22,10.83,90.85,21.81,47.5,31.73,pomegranate
172,72,218,7,0.9,0.21,7.43,100.58,34.67,65.51,34.69,pomegranate
157,57,172,5.6,0.52,0.23,9.81,65.34,26.63,54.44,49.59,pomegranate
165,80,171,6.6,0.11,0.19,8.6,84.92,38.74,48.12,36.84,pomegranate
158,79,182,7.1,0.32,0.25,10.71,73.99,26.78,55.33,15.66,pomegranate
135,63,170,6,0.45,0.22,7.98,60.38,57.34,51.34,22.41,pomegranate
157,46,199,5.8,0.01,0.2,7.45,65,24.56,56.96,20.7,pomegranate
176,74,175,6.5,0.69,0.23,17.81,87.13,23.95,30.95,43.3,pomegranate
132,51,185,5.7,0.72,0.27,19.22,80.11,30.93,36.45,37.74,pomegranate
148,51,219,6.1,0.06,0.16,13.6,82.62,66.02,44.14,14.28,pomegranate
154,53,189,7,0.42,0.29,19.56,84.84,53.28,42.85,43.03,pomegranate
133,32,213,6.3,0.99,0.24,14.59,90.79,46.43,38.54,23.61,pomegranate
178,32,182,6.3,0.11,0.27,8.07,61.9,26.59,45.86,15.67,pomegranate
130,11,200,6,0.71,0.19,19.34,115.24,43.76,46.77,24.31,pomegranate
163,51,198,6.6,0.62,0.22,5.54,78.87,30.25,41.57,30.42,pomegranate
131,39,181,7.1,0.41,0.29,15.56,110.63,27.42,49.04,41.53,pomegranate
167,39,183,6.4,0.58,0.25,5.63,66.23,68.1,27.78,20.73,pomegranate
140,61,193,6.7,0.04,0.19,14.65,116.21,57.04,55.82,43.71,pomegranate
139,55,190,6.3,0.03,0.27,10.61,118.68,50.28,34.29,39.61,pomegranate
140,63,201,6.8,0.91,0.23,19.94,63.87,69.02,46.39,44.53,pomegranate
153,36,202,6.4,0.24,0.18,13.97,85.31,36.42,26.41,48.34,pomegranate
146,39,197,7,0.59,0.21,9.44,73.93,48.22,42.19,41.01,pomegranate
146,69,177,6.9,0.8,0.18,18.81,111.02,69.4,20.08,49.27,pomegranate
150,17,171,6.2,0.43,0.29,13.53,62.62,34.65,23.35,42.68,pomegranate
132,11,196,5.7,0.87,0.19,19.53,78.11,56.31,54.22,11.07,pomegranate
171,34,201,7.1,1,0.26,12.11,66.56,39.54,67.53,47.21,pomegranate
180,11,211,6,0.84,0.23,5.85,92.52,37.42,47.7,48.25,pomegranate
178,16,179,6.9,0.77,0.23,15.36,108.73,63.16,35.03,10.91,pomegranate
135,51,195,6.9,0.9,0.16,9.21,118.35,67.13,47.73,42.37,pomegranate
137,53,177,6.8,0.98,0.19,19.8,102.44,58.38,45.95,27.97,pomegranate
161,57,186,5.8,0.93,0.27,9.5,100.99,51.96,43.01,32.55,pomegranate
153,78,188,5.6,0.09,0.26,18.72,117.45,53.95,67.84,42.67,pomegranate
141,69,211,5.7,0.71,0.16,12.33,116.81,68.31,43.3,42.22,pomegranate
163,41,186,5.6,0.58,0.23,10.99,69.61,59.56,26.76,31.23,pomegranate
145,80,181,6.1,0.09,0.21,11.79,119.03,53.9,28.24,23.97,pomegranate
133,15,212,6.4,0.87,0.27,17.31,108.36,29.97,54.07,43.06,pomegranate
175,12,171,5.8,0.16,0.21,17.07,112.14,49.21,69.76,30.55,pomegranate
147,62,192,7.1,0.97,0.28,12.52,60.1,50.96,63.13,39.13,pomegranate
151,69,207,5.9,0.55,0.25,16.14,113.51,22.04,31.29,19.27,pomegranate
133,64,197,7.1,0.78,0.15,18.88,72.6,67.42,26.32,15.82,pomegranate
168,64,206,5.8,0.34,0.18,12.97,76.81,42.61,48.57,31.22,pomegranate
153,60,185,6.3,0.19,0.28,6.86,85.83,69.79,23.61,33.64,pomegranate
173,29,170,5.9,0.5,0.17,16.42,70.15,23.94,55.15,19.28,pomegranate
138,78,194,7.1,0.34,0.15,15.83,92.88,48.58,69.7,25.54,pomegranate
143,21,218,6.4,0.17,0.16,10.56,113.57,51.07,25.58,23.23,pomegranate
141,36,190,7.2,0.33,0.19,18.23,109.89,68.6,56.66,44.87,pomegranate
177,79,214,6.4,0.33,0.28,5.97,98.7,64.64,44.2,10.35,pomegranate
137,38,208,6.1,0.54,0.27,5.57,115.77,40.37,21.61,25.95,pomegranate
104,23,193,5.8,1.16,0.23,15.78,60.23,85.25,33.45,67.88,pomegranate
146,76,192,5.7,0.6,0.32,17.82,148.4,75,23.4,68.2,pomegranate
153,62,67,6.2,0.12,0.04,20.12,88.95,125.23,28.67,26.1,pomegranate
155,66,86,5.9,0.14,0.066,13.42,78.73,46.97,33.23,45.1,pomegranate
98,85,191,6,1.45,0.28,14.47,179.63,85.79,47.76,65.83,mango
95,87,141,4.8,0.88,0.27,18.63,71.11,64.77,20.86,58.64,mango
107,79,127,5.7,0.75,0.25,9.46,80.98,89.12,29.14,60.91,mango
123,74,134,6,0.83,0.31,19.9,140.22,99.24,23.29,70.52,mango
93,73,139,6.4,1.05,0.18,18.34,191.43,54.99,37.53,54.89,mango
137,74,188,6.1,0.57,0.17,15.44,84.83,51.88,50,69.45,mango
145,84,191,5.1,1.07,0.19,15.6,50.27,64.46,38.88,66.69,mango
86,83,143,5.7,0.89,0.34,13.28,173.21,70.27,22.48,66.15,mango
148,76,197,6,0.87,0.22,15.81,110.14,65.92,20.69,55.41,mango
137,71,170,5.1,0.72,0.32,9.97,88.37,95.67,40.4,63.5,mango
131,81,149,4.8,1.44,0.16,16.96,64.95,72.87,47.96,61.14,mango
129,85,179,5.2,0.88,0.23,12.08,123.96,77.69,30.11,67.32,mango
86,80,195,6.8,1.22,0.21,19.53,62.65,55.71,22.56,64.69,mango
81,87,128,6.4,1.17,0.25,16.92,188.97,53.49,34.25,62.58,mango
127,80,163,5.6,1.3,0.21,12.3,173.53,63.03,44.37,65.89,mango
111,82,164,5.8,0.63,0.24,14.66,196.99,82.4,46.82,58.46,mango
100,82,159,5.4,0.55,0.2,14.32,148.77,61.36,40.08,68.78,mango
112,88,148,6.2,1.48,0.25,14.38,63.05,81.71,45,66.52,mango
89,77,156,5.2,0.82,0.27,12.54,100.06,86.28,45.08,62.04,mango
85,80,131,5,1.29,0.34,18.71,51.06,87.68,41.62,70.34,mango
118,70,153,5.7,1.08,0.24,11.09,162.31,84.41,27.58,69.93,mango
148,73,198,5.5,0.58,0.29,13.5,182.25,56.44,35.78,58.55,mango
82,86,136,6.8,1.28,0.23,17.82,107.04,88.46,20.84,66.11,mango
110,71,146,6.1,1.44,0.2,19.17,139.93,88.28,26.8,71.76,mango
109,76,182,5.1,1.39,0.31,12.91,85.58,60.77,39.58,72.53,mango
92,77,162,4.5,0.64,0.18,10.56,171.73,84.09,32.57,63.14,mango
138,86,149,5.9,0.65,0.21,12.61,145.64,85.73,49.73,58.16,mango
91,78,159,6.4,1.36,0.15,16.29,130.77,57.57,44.17,68.17,mango
132,87,195,4.5,0.94,0.31,18.19,72.44,88.09,44.92,74.56,mango
114,82,183,6.1,0.69,0.34,9.91,180.56,53.28,48.57,56.56,mango
128,89,184,6.5,0.8,0.31,17.45,122.21,95.92,46.73,57.67,mango
98,78,179,6.8,1.29,0.17,19.88,190.72,56.17,49.92,62.77,mango
91,80,132,5.4,0.81,0.32,9.63,99.14,72.69,42.77,50.03,mango
98,78,131,6.1,1.05,0.35,19.3,187.27,50.73,31.89,54.75,mango
97,84,183,4.6,1.4,0.26,8.42,173.88,92.04,31.31,51.5,mango
110,86,154,6.4,1.39,0.3,11.62,138.84,82.52,46.43,57.24,mango
102,89,160,5.3,1.09,0.29,8.66,178.86,66.75,29.77,73.99,mango
104,85,172,5.3,1.12,0.17,16.41,105.55,64.46,49.61,61.2,mango
139,74,125,6.7,0.77,0.25,17.53,97.52,52.55,27.09,62.16,mango
118,86,179,5.7,0.87,0.32,16.08,172.71,63.92,22.72,60.75,mango
128,73,123,4.7,1.42,0.35,10.33,56.62,72.65,34.1,56.43,mango
111,74,165,6.8,1.25,0.27,10.98,169.05,50.52,33.8,60.5,mango
127,72,168,6.5,0.5,0.21,13.12,92.31,73.36,45.64,52.79,mango
110,82,167,5.8,1.08,0.18,15.08,139.78,60.57,44.21,71.44,mango
112,87,145,5,1.36,0.19,8.34,55.17,82.6,20.66,71.2,mango
80,71,169,6.4,1.37,0.18,10.31,59.08,89.43,45.57,72.04,mango
105,72,164,4.9,1,0.15,15.34,148.32,59.16,25.77,55.5,mango
122,86,167,6.4,0.71,0.32,9.86,99.1,68.08,47.83,60.31,mango
111,76,155,6.8,1.28,0.3,12.38,77.21,89.26,46.94,68.06,mango
145,73,181,6.4,0.81,0.17,8.78,196.66,54.72,37.8,52.55,mango
112,85,184,4.7,1.1,0.32,15.36,156.35,65.26,47.26,52.13,mango
107,86,159,5.3,0.64,0.17,9.11,97.91,50.78,21.14,58.37,mango
121,87,154,5.9,0.53,0.2,14.16,139.46,80.34,31.98,52.64,mango
121,76,169,4.8,0.86,0.27,10.03,78.71,78.58,27.1,69.01,mango
101,77,125,6.8,0.65,0.29,12.34,178.23,87.49,26.55,67.57,mango
